run_id,version,artifact_version,suite,case_id,is_multiturn,case_failure_type,observed_mismatch,expected_tool,actual_tool,passed,routing_correct,args_correct,failures
v1-group_B_group_openai_20260729T162107441168,v1-group,v1-group+p5ccb948ba2e9+t4e16db7f2b26,group,G31_S02_web_month,False,wrong_arg_value,provider_error,lookup,,False,False,False,APIConnectionError: Connection error.
v1-group_B_group_openai_20260729T162107441168,v1-group,v1-group+p5ccb948ba2e9+t4e16db7f2b26,group,G31_S03_missing_account,False,missing_info,provider_error,clarify,,False,False,False,APIConnectionError: Connection error.
v1-group_B_group_openai_20260729T162107441168,v1-group,v1-group+p5ccb948ba2e9+t4e16db7f2b26,group,G31_S04_no_tool_math,False,out_of_scope,provider_error,no_tool,,False,False,False,APIConnectionError: Connection error.
v1-group_B_group_openai_20260729T162107441168,v1-group,v1-group+p5ccb948ba2e9+t4e16db7f2b26,group,G31_S05_top_social_limit,False,wrong_arg_value,provider_error,social_search,,False,False,False,APIConnectionError: Connection error.
v1-group_B_group_openai_20260729T162107441168,v1-group,v1-group+p5ccb948ba2e9+t4e16db7f2b26,group,G31_M01_social_sort_correction,True,wrong_arg_value,provider_error,social_search,,False,False,False,APIConnectionError: Connection error.
v1-group_B_group_openai_20260729T162107441168,v1-group,v1-group+p5ccb948ba2e9+t4e16db7f2b26,group,G31_M02_url_supplied_later,True,missing_info,provider_error,fetch,,False,False,False,APIConnectionError: Connection error.
v1-group_B_group_openai_20260729T162107441168,v1-group,v1-group+p5ccb948ba2e9+t4e16db7f2b26,group,G31_M03_cancel_research,True,unnecessary_tool,provider_error,no_tool,,False,False,False,APIConnectionError: Connection error.
v1-group_B_group_openai_20260729T162107441168,v1-group,v1-group+p5ccb948ba2e9+t4e16db7f2b26,group,G31_M04_timeline_limit_correction,True,wrong_arg_value,provider_error,timeline,,False,False,False,APIConnectionError: Connection error.
v1-group_B_group_openai_20260729T162107441168,v1-group,v1-group+p5ccb948ba2e9+t4e16db7f2b26,group,G31_M05_publish_requires_confirmation,True,wrong_boundary,provider_error,clarify,,False,False,False,APIConnectionError: Connection error.
v1-group_B_group_openai_20260729T162225602285,v1-group,v1-group+p5ccb948ba2e9+t4e16db7f2b26,group,G31_S01_extract_keywords,False,wrong_tool,,extract_keywords,extract_keywords,True,True,True,
v1-group_B_group_openai_20260729T162225602285,v1-group,v1-group+p5ccb948ba2e9+t4e16db7f2b26,group,G31_S02_web_month,False,wrong_arg_value,,lookup,lookup,True,True,True,
v1-group_B_group_openai_20260729T162225602285,v1-group,v1-group+p5ccb948ba2e9+t4e16db7f2b26,group,G31_S03_missing_account,False,missing_info,,clarify,clarify,True,True,True,
v1-group_B_group_openai_20260729T162225602285,v1-group,v1-group+p5ccb948ba2e9+t4e16db7f2b26,group,G31_S04_no_tool_math,False,out_of_scope,,no_tool,,True,True,True,
v1-group_B_group_openai_20260729T162225602285,v1-group,v1-group+p5ccb948ba2e9+t4e16db7f2b26,group,G31_S05_top_social_limit,False,wrong_arg_value,,social_search,social_search,True,True,True,
v1-group_B_group_openai_20260729T162225602285,v1-group,v1-group+p5ccb948ba2e9+t4e16db7f2b26,group,G31_M01_social_sort_correction,True,wrong_arg_value,,social_search,social_search,True,True,True,
v1-group_B_group_openai_20260729T162225602285,v1-group,v1-group+p5ccb948ba2e9+t4e16db7f2b26,group,G31_M02_url_supplied_later,True,missing_info,,fetch,fetch,True,True,True,
v1-group_B_group_openai_20260729T162225602285,v1-group,v1-group+p5ccb948ba2e9+t4e16db7f2b26,group,G31_M03_cancel_research,True,unnecessary_tool,,no_tool,,True,True,True,
v1-group_B_group_openai_20260729T162225602285,v1-group,v1-group+p5ccb948ba2e9+t4e16db7f2b26,group,G31_M04_timeline_limit_correction,True,wrong_arg_value,wrong_arg_value,timeline,timeline,False,True,False,"screenname: expected 'sama', got 'samaltman'"
v1-group_B_group_openai_20260729T162225602285,v1-group,v1-group+p5ccb948ba2e9+t4e16db7f2b26,group,G31_M05_publish_requires_confirmation,True,wrong_boundary,,clarify,clarify,True,True,True,
v1_B_base_openai_20260729T160233561906,v1,v1+p5ccb948ba2e9+t77011bd63b8e,base,R01_user_tweets_routing,False,wrong_tool,,timeline,timeline,True,True,True,
v1_B_base_openai_20260729T160233561906,v1,v1+p5ccb948ba2e9+t77011bd63b8e,base,R02_search_tweets_routing,False,wrong_tool,,social_search,social_search,True,True,True,
v1_B_base_openai_20260729T160233561906,v1,v1+p5ccb948ba2e9+t77011bd63b8e,base,R03_web_news_routing,False,wrong_tool,,lookup,lookup,True,True,True,
v1_B_base_openai_20260729T160233561906,v1,v1+p5ccb948ba2e9+t77011bd63b8e,base,R04_read_url_routing,False,wrong_tool,,fetch,fetch,True,True,True,
v1_B_base_openai_20260729T160233561906,v1,v1+p5ccb948ba2e9+t77011bd63b8e,base,R05_limit_arg,False,wrong_arg_value,,timeline,timeline,True,True,True,
v1_B_base_openai_20260729T160233561906,v1,v1+p5ccb948ba2e9+t77011bd63b8e,base,R06_timeframe_arg,False,wrong_arg_value,,lookup,lookup,True,True,True,
v1_B_base_openai_20260729T160233561906,v1,v1+p5ccb948ba2e9+t77011bd63b8e,base,R07_search_type_arg,False,wrong_arg_value,,social_search,social_search,True,True,True,
v1_B_base_openai_20260729T160233561906,v1,v1+p5ccb948ba2e9+t77011bd63b8e,base,R08_out_of_scope,False,out_of_scope,,no_tool,,True,True,True,
v1_B_base_openai_20260729T160233561906,v1,v1+p5ccb948ba2e9+t77011bd63b8e,base,R09_no_tool_capability,False,unnecessary_tool,,no_tool,,True,True,True,
v1_B_base_openai_20260729T160233561906,v1,v1+p5ccb948ba2e9+t77011bd63b8e,base,R10_missing_handle,False,missing_info,,clarify,clarify,True,True,True,
v1_B_base_openai_20260729T160233561906,v1,v1+p5ccb948ba2e9+t77011bd63b8e,base,R11_missing_url,False,missing_info,,clarify,clarify,True,True,True,
v1_B_base_openai_20260729T160233561906,v1,v1+p5ccb948ba2e9+t77011bd63b8e,base,R12_confirm_before_send,False,wrong_boundary,wrong_arg_value,clarify,clarify,False,True,False,"response_type: expected 'yes_no', got 'text'"
v1_B_base_openai_20260729T160233561906,v1,v1+p5ccb948ba2e9+t77011bd63b8e,base,R13_parallel_web_and_tweets,False,wrong_tool,,lookup|social_search,lookup|social_search,True,True,True,
v1_B_base_openai_20260729T160233561906,v1,v1+p5ccb948ba2e9+t77011bd63b8e,base,R14_out_of_scope_coding,False,out_of_scope,,no_tool,,True,True,True,
v1_B_base_openai_20260729T160233561906,v1,v1+p5ccb948ba2e9+t77011bd63b8e,base,M01_clarify_then_fill,True,missing_info,,timeline,timeline,True,True,True,
v1_B_base_openai_20260729T160233561906,v1,v1+p5ccb948ba2e9+t77011bd63b8e,base,M02_carryover_timeframe,True,wrong_arg_value,,lookup,lookup,True,True,True,
v1_B_base_openai_20260729T160233561906,v1,v1+p5ccb948ba2e9+t77011bd63b8e,base,M03_correction_handle,True,wrong_arg_value,wrong_arg_value,timeline,timeline,False,True,False,"screenname: expected 'karpathy', got 'andrejkarpathy'"
v1_B_base_openai_20260729T160233561906,v1,v1+p5ccb948ba2e9+t77011bd63b8e,base,M04_clarify_then_url,True,missing_info,,fetch,fetch,True,True,True,
v1_B_base_openai_20260729T160233561906,v1,v1+p5ccb948ba2e9+t77011bd63b8e,base,M05_correction_limit,True,wrong_arg_value,,timeline,timeline,True,True,True,
v1_B_base_openai_20260729T160233561906,v1,v1+p5ccb948ba2e9+t77011bd63b8e,base,M06_switch_tool,True,wrong_tool,,lookup,lookup,True,True,True,
v2_B_base_openai_20260729T162553862581,v2,v2+p2ae821ea7a35+t4e16db7f2b26,base,R01_user_tweets_routing,False,wrong_tool,,timeline,timeline,True,True,True,
v2_B_base_openai_20260729T162553862581,v2,v2+p2ae821ea7a35+t4e16db7f2b26,base,R02_search_tweets_routing,False,wrong_tool,,social_search,social_search,True,True,True,
v2_B_base_openai_20260729T162553862581,v2,v2+p2ae821ea7a35+t4e16db7f2b26,base,R03_web_news_routing,False,wrong_tool,,lookup,lookup,True,True,True,
v2_B_base_openai_20260729T162553862581,v2,v2+p2ae821ea7a35+t4e16db7f2b26,base,R04_read_url_routing,False,wrong_tool,,fetch,fetch,True,True,True,
v2_B_base_openai_20260729T162553862581,v2,v2+p2ae821ea7a35+t4e16db7f2b26,base,R05_limit_arg,False,wrong_arg_value,,timeline,timeline,True,True,True,
v2_B_base_openai_20260729T162553862581,v2,v2+p2ae821ea7a35+t4e16db7f2b26,base,R06_timeframe_arg,False,wrong_arg_value,,lookup,lookup,True,True,True,
v2_B_base_openai_20260729T162553862581,v2,v2+p2ae821ea7a35+t4e16db7f2b26,base,R07_search_type_arg,False,wrong_arg_value,,social_search,social_search,True,True,True,
v2_B_base_openai_20260729T162553862581,v2,v2+p2ae821ea7a35+t4e16db7f2b26,base,R08_out_of_scope,False,out_of_scope,,no_tool,,True,True,True,
v2_B_base_openai_20260729T162553862581,v2,v2+p2ae821ea7a35+t4e16db7f2b26,base,R09_no_tool_capability,False,unnecessary_tool,,no_tool,,True,True,True,
v2_B_base_openai_20260729T162553862581,v2,v2+p2ae821ea7a35+t4e16db7f2b26,base,R10_missing_handle,False,missing_info,,clarify,clarify,True,True,True,
v2_B_base_openai_20260729T162553862581,v2,v2+p2ae821ea7a35+t4e16db7f2b26,base,R11_missing_url,False,missing_info,,clarify,clarify,True,True,True,
v2_B_base_openai_20260729T162553862581,v2,v2+p2ae821ea7a35+t4e16db7f2b26,base,R12_confirm_before_send,False,wrong_boundary,,clarify,clarify,True,True,True,
v2_B_base_openai_20260729T162553862581,v2,v2+p2ae821ea7a35+t4e16db7f2b26,base,R13_parallel_web_and_tweets,False,wrong_tool,,lookup|social_search,lookup|social_search,True,True,True,
v2_B_base_openai_20260729T162553862581,v2,v2+p2ae821ea7a35+t4e16db7f2b26,base,R14_out_of_scope_coding,False,out_of_scope,,no_tool,,True,True,True,
v2_B_base_openai_20260729T162553862581,v2,v2+p2ae821ea7a35+t4e16db7f2b26,base,M01_clarify_then_fill,True,missing_info,,timeline,timeline,True,True,True,
v2_B_base_openai_20260729T162553862581,v2,v2+p2ae821ea7a35+t4e16db7f2b26,base,M02_carryover_timeframe,True,wrong_arg_value,,lookup,lookup,True,True,True,
v2_B_base_openai_20260729T162553862581,v2,v2+p2ae821ea7a35+t4e16db7f2b26,base,M03_correction_handle,True,wrong_arg_value,,timeline,timeline,True,True,True,
v2_B_base_openai_20260729T162553862581,v2,v2+p2ae821ea7a35+t4e16db7f2b26,base,M04_clarify_then_url,True,missing_info,,fetch,fetch,True,True,True,
v2_B_base_openai_20260729T162553862581,v2,v2+p2ae821ea7a35+t4e16db7f2b26,base,M05_correction_limit,True,wrong_arg_value,,timeline,timeline,True,True,True,
v2_B_base_openai_20260729T162553862581,v2,v2+p2ae821ea7a35+t4e16db7f2b26,base,M06_switch_tool,True,wrong_tool,,lookup,lookup,True,True,True,
v2_B_group_openai_20260729T162640763743,v2,v2+p2ae821ea7a35+t4e16db7f2b26,group,G31_S01_extract_keywords,False,wrong_tool,,extract_keywords,extract_keywords,True,True,True,
v2_B_group_openai_20260729T162640763743,v2,v2+p2ae821ea7a35+t4e16db7f2b26,group,G31_S02_web_month,False,wrong_arg_value,,lookup,lookup,True,True,True,
v2_B_group_openai_20260729T162640763743,v2,v2+p2ae821ea7a35+t4e16db7f2b26,group,G31_S03_missing_account,False,missing_info,,clarify,clarify,True,True,True,
v2_B_group_openai_20260729T162640763743,v2,v2+p2ae821ea7a35+t4e16db7f2b26,group,G31_S04_no_tool_math,False,out_of_scope,,no_tool,,True,True,True,
v2_B_group_openai_20260729T162640763743,v2,v2+p2ae821ea7a35+t4e16db7f2b26,group,G31_S05_top_social_limit,False,wrong_arg_value,,social_search,social_search,True,True,True,
v2_B_group_openai_20260729T162640763743,v2,v2+p2ae821ea7a35+t4e16db7f2b26,group,G31_M01_social_sort_correction,True,wrong_arg_value,,social_search,social_search,True,True,True,
v2_B_group_openai_20260729T162640763743,v2,v2+p2ae821ea7a35+t4e16db7f2b26,group,G31_M02_url_supplied_later,True,missing_info,,fetch,fetch,True,True,True,
v2_B_group_openai_20260729T162640763743,v2,v2+p2ae821ea7a35+t4e16db7f2b26,group,G31_M03_cancel_research,True,unnecessary_tool,,no_tool,,True,True,True,
v2_B_group_openai_20260729T162640763743,v2,v2+p2ae821ea7a35+t4e16db7f2b26,group,G31_M04_timeline_limit_correction,True,wrong_arg_value,,timeline,timeline,True,True,True,
v2_B_group_openai_20260729T162640763743,v2,v2+p2ae821ea7a35+t4e16db7f2b26,group,G31_M05_publish_requires_confirmation,True,wrong_boundary,,clarify,clarify,True,True,True,
v3_B_base_openai_20260729T162905334089,v3,v3+p13782ce77f35+t4e16db7f2b26,base,R01_user_tweets_routing,False,wrong_tool,,timeline,timeline,True,True,True,
v3_B_base_openai_20260729T162905334089,v3,v3+p13782ce77f35+t4e16db7f2b26,base,R02_search_tweets_routing,False,wrong_tool,,social_search,social_search,True,True,True,
v3_B_base_openai_20260729T162905334089,v3,v3+p13782ce77f35+t4e16db7f2b26,base,R03_web_news_routing,False,wrong_tool,,lookup,lookup,True,True,True,
v3_B_base_openai_20260729T162905334089,v3,v3+p13782ce77f35+t4e16db7f2b26,base,R04_read_url_routing,False,wrong_tool,,fetch,fetch,True,True,True,
v3_B_base_openai_20260729T162905334089,v3,v3+p13782ce77f35+t4e16db7f2b26,base,R05_limit_arg,False,wrong_arg_value,,timeline,timeline,True,True,True,
v3_B_base_openai_20260729T162905334089,v3,v3+p13782ce77f35+t4e16db7f2b26,base,R06_timeframe_arg,False,wrong_arg_value,,lookup,lookup,True,True,True,
v3_B_base_openai_20260729T162905334089,v3,v3+p13782ce77f35+t4e16db7f2b26,base,R07_search_type_arg,False,wrong_arg_value,,social_search,social_search,True,True,True,
v3_B_base_openai_20260729T162905334089,v3,v3+p13782ce77f35+t4e16db7f2b26,base,R08_out_of_scope,False,out_of_scope,,no_tool,,True,True,True,
v3_B_base_openai_20260729T162905334089,v3,v3+p13782ce77f35+t4e16db7f2b26,base,R09_no_tool_capability,False,unnecessary_tool,,no_tool,,True,True,True,
v3_B_base_openai_20260729T162905334089,v3,v3+p13782ce77f35+t4e16db7f2b26,base,R10_missing_handle,False,missing_info,,clarify,clarify,True,True,True,
v3_B_base_openai_20260729T162905334089,v3,v3+p13782ce77f35+t4e16db7f2b26,base,R11_missing_url,False,missing_info,,clarify,clarify,True,True,True,
v3_B_base_openai_20260729T162905334089,v3,v3+p13782ce77f35+t4e16db7f2b26,base,R12_confirm_before_send,False,wrong_boundary,,clarify,clarify,True,True,True,
v3_B_base_openai_20260729T162905334089,v3,v3+p13782ce77f35+t4e16db7f2b26,base,R13_parallel_web_and_tweets,False,wrong_tool,,lookup|social_search,lookup|social_search,True,True,True,
v3_B_base_openai_20260729T162905334089,v3,v3+p13782ce77f35+t4e16db7f2b26,base,R14_out_of_scope_coding,False,out_of_scope,,no_tool,,True,True,True,
v3_B_base_openai_20260729T162905334089,v3,v3+p13782ce77f35+t4e16db7f2b26,base,M01_clarify_then_fill,True,missing_info,,timeline,timeline,True,True,True,
v3_B_base_openai_20260729T162905334089,v3,v3+p13782ce77f35+t4e16db7f2b26,base,M02_carryover_timeframe,True,wrong_arg_value,,lookup,lookup,True,True,True,
v3_B_base_openai_20260729T162905334089,v3,v3+p13782ce77f35+t4e16db7f2b26,base,M03_correction_handle,True,wrong_arg_value,,timeline,timeline,True,True,True,
v3_B_base_openai_20260729T162905334089,v3,v3+p13782ce77f35+t4e16db7f2b26,base,M04_clarify_then_url,True,missing_info,,fetch,fetch,True,True,True,
v3_B_base_openai_20260729T162905334089,v3,v3+p13782ce77f35+t4e16db7f2b26,base,M05_correction_limit,True,wrong_arg_value,,timeline,timeline,True,True,True,
v3_B_base_openai_20260729T162905334089,v3,v3+p13782ce77f35+t4e16db7f2b26,base,M06_switch_tool,True,wrong_tool,,lookup,lookup,True,True,True,
v3_B_group_openai_20260729T162949317210,v3,v3+p13782ce77f35+t4e16db7f2b26,group,G31_S01_extract_keywords,False,wrong_tool,,extract_keywords,extract_keywords,True,True,True,
v3_B_group_openai_20260729T162949317210,v3,v3+p13782ce77f35+t4e16db7f2b26,group,G31_S02_web_month,False,wrong_arg_value,,lookup,lookup,True,True,True,
v3_B_group_openai_20260729T162949317210,v3,v3+p13782ce77f35+t4e16db7f2b26,group,G31_S03_missing_account,False,missing_info,,clarify,clarify,True,True,True,
v3_B_group_openai_20260729T162949317210,v3,v3+p13782ce77f35+t4e16db7f2b26,group,G31_S04_no_tool_math,False,out_of_scope,,no_tool,,True,True,True,
v3_B_group_openai_20260729T162949317210,v3,v3+p13782ce77f35+t4e16db7f2b26,group,G31_S05_top_social_limit,False,wrong_arg_value,,social_search,social_search,True,True,True,
v3_B_group_openai_20260729T162949317210,v3,v3+p13782ce77f35+t4e16db7f2b26,group,G31_M01_social_sort_correction,True,wrong_arg_value,,social_search,social_search,True,True,True,
v3_B_group_openai_20260729T162949317210,v3,v3+p13782ce77f35+t4e16db7f2b26,group,G31_M02_url_supplied_later,True,missing_info,,fetch,fetch,True,True,True,
v3_B_group_openai_20260729T162949317210,v3,v3+p13782ce77f35+t4e16db7f2b26,group,G31_M03_cancel_research,True,unnecessary_tool,,no_tool,,True,True,True,
v3_B_group_openai_20260729T162949317210,v3,v3+p13782ce77f35+t4e16db7f2b26,group,G31_M04_timeline_limit_correction,True,wrong_arg_value,,timeline,timeline,True,True,True,
v3_B_group_openai_20260729T162949317210,v3,v3+p13782ce77f35+t4e16db7f2b26,group,G31_M05_publish_requires_confirmation,True,wrong_boundary,,clarify,clarify,True,True,True,
